"","t","x","y","z","v","w"
"1",0,97,1,2,3,4
"2",0.02,96.846,1.1533,2.0007,3.00228,3.99532
"3",0.04,96.692489295712,1.305881034288,2.00162967,3.00455713076808,3.99064574923192
"4",0.06,96.5394661114375,1.45774604887909,2.00278783968343,3.00683138199719,3.9859772545468
"5",0.08,96.3869286785584,1.60889797782073,2.00417334362088,3.00910274343224,3.98131452274791
"6",0.1,96.2348752355066,1.75933974324327,2.00578502125016,3.01137120486999,3.97665756059074
"7",0.12,96.0833040277333,1.90907425541023,2.00762171685653,3.01363675615902,3.97200637478315
"8",0.14,95.9322133076788,2.0581044127683,2.0096822795529,3.01589938719967,3.96736097198538
"9",0.16,95.7816013347425,2.20643310199727,2.01196556326023,3.01815908794392,3.96272135881011
"10",0.18,95.6314663752525,2.35406319805956,2.01447042668792,3.0204158483954,3.95808754182252
"11",0.2,95.481806702436,2.50099756424969,2.01719573331434,3.02266965860927,3.95345952754039
"12",0.22,95.3326205963892,2.64723905224342,2.02014035136738,3.02492050869216,3.94883732243412
"13",0.24,95.1839063440481,2.79279050214675,2.0233031538052,3.02716838880215,3.94422093292678
"14",0.26,95.0356622391585,2.93765474254464,2.0266830182969,3.02941328914862,3.93961036539423
"15",0.28,94.887886582247,3.08183459054961,2.0302788272034,3.03165519999227,3.93500562616513
"16",0.3,94.7405776805917,3.22533285184999,2.03408946755834,3.033894111645,3.93040672152101
"17",0.32,94.5937338481928,3.3681523207581,2.03811383104909,3.03613001446986,3.92581365769635
"18",0.34,94.447353405744,3.51029578025815,2.04235081399781,3.03836289888099,3.92122644087862
"19",0.36,94.3014346806035,3.65176600205391,2.0467993173426,3.04059275534354,3.91664507720836
"20",0.38,94.1559760067651,3.79256574661619,2.05145824661874,3.04281957437361,3.91206957277923
"21",0.4,94.0109757248298,3.93269776323018,2.05632651194002,3.04504334653819,3.90749993363807
"22",0.42,93.8664321819774,4.07216479004245,2.06140302798009,3.04726406245507,3.90293616578498
"23",0.44,93.7223437319382,4.21096955410787,2.06668671395396,3.04948171279282,3.89837827517334
"24",0.46,93.5787087349642,4.34911477143623,2.07217649359954,3.05169628827066,3.89382626770994
"25",0.48,93.435525557802,4.48660314703874,2.07787129515925,3.05390777965845,3.88928014925497
"26",0.5,93.292792573664,4.62343737497423,2.08377005136175,3.05611617777659,3.88473992562213
"27",0.52,93.1505081622011,4.75962013839526,2.08987169940367,3.05832147349597,3.88020560257868
"28",0.54,93.0086707094746,4.89515410959391,2.0961751809315,3.06052365773787,3.87567718584549
"29",0.56,92.867278607929,5.0300419500475,2.10267944202352,3.06272272147394,3.87115468109711
"30",0.58,92.7263302563643,5.16428631046394,2.10938343317178,3.06491865572611,3.86663809396186
"31",0.6,92.5858240599087,5.29788983082708,2.1162861092642,3.06711145156651,3.86212743002183
"32",0.62,92.4457584299916,5.43085514044168,2.12338642956674,3.06930110011742,3.85762269481302
"33",0.64,92.3061317843161,5.56318485797834,2.13068335770558,3.0714875925512,3.85312389382533
"34",0.66,92.1669425468324,5.69488159151808,2.13817586164946,3.0736709200902,3.84863103250267
"35",0.68,92.0281891477111,5.82594793859684,2.14586291369208,3.07585107400673,3.84414411624303
"36",0.7,91.8898700233157,5.95638648624978,2.1537434904345,3.07802804562297,3.83966315039849
"37",0.72,91.751983616177,6.08619981105528,2.1618165727677,3.08020182631089,3.83518814027535
"38",0.74,91.6145283749659,6.21539047917887,2.17008114585517,3.0823724074922,3.83071909113413
"39",0.76,91.4775027544675,6.34396104641693,2.1785361991156,3.08453978063829,3.82625600818969
"40",0.78,91.3409052155543,6.47191405824012,2.18718072620558,3.08670393727013,3.82179889661125
"41",0.8,91.2047342251607,6.59925204983678,2.19601372500246,3.08886486895823,3.8173477615225
"42",0.82,91.0689882562568,6.72597754615596,2.20503419758721,3.09102256732254,3.81290260800161
"43",0.84,90.9336657878222,6.8520930619504,2.21424115022741,3.09317702403242,3.80846344108134
"44",0.86,90.7987653048205,6.97760110181927,2.22363359336024,3.09532823080655,3.80403026574907
"45",0.88,90.6642852981737,7.10250416025068,2.23321054157563,3.09747617941285,3.79960308694691
"46",0.9,90.5302242647365,7.22680472166412,2.24297101359937,3.09962086166844,3.79518190957169
"47",0.92,90.396580707271,7.35050526045255,2.25291403227643,3.10176226943952,3.79076673847512
"48",0.94,90.2633531344213,7.4736082410245,2.2630386245542,3.10390039464136,3.78635757846379
"49",0.96,90.1305400606883,7.59611611784578,2.27334382146591,3.10603522923819,3.78195443429923
"50",0.98,89.9981400064047,7.71803133548119,2.2838286581141,3.10816676524315,3.77755731069802
"51",1,89.86615149771,7.83935632863594,2.29449217365407,3.11029499471821,3.77316621233184
"52",1.02,89.7345730665255,7.96009352219692,2.30533341127757,3.11241990977408,3.7687811438275
"53",1.04,89.6034032505299,8.08024533127375,2.31635141819635,3.11454150257019,3.76440210976706
"54",1.06,89.4726405931343,8.19981416123978,2.32754524562598,3.11665976531458,3.76002911468787
"55",1.08,89.3422836434577,8.3188024077727,2.33891394876959,3.11877469026382,3.75566216308263
"56",1.1,89.2123309563031,8.43721245689518,2.35045658680174,3.12088626972298,3.75130125939945
"57",1.12,89.0827810921324,8.55504668501522,2.36217222285236,3.12299449604553,3.74694640804196
"58",1.14,88.953632617043,8.67230745896631,2.37405992399075,3.12509936163326,3.74259761336932
"59",1.16,88.8248841027429,8.7889971360475,2.3861187612096,3.12720085893624,3.73825487969634
"60",1.18,88.6965341265276,8.90511806406323,2.39834780940919,3.12929898045273,3.73391821129349
"61",1.2,88.5685812712555,9.02067258136297,2.41074614738152,3.13139371872909,3.72958761238704
"62",1.22,88.4410241253246,9.13566301688077,2.42331285779461,3.13348506635975,3.72526308715904
"63",1.24,88.3138612826487,9.25009169017454,2.43604702717681,3.13557301598709,3.72094463974747
"64",1.26,88.1870913426336,9.36396091146524,2.4489477459012,3.13765756030143,3.71663227424625
"65",1.28,88.0607129101541,9.47727298167583,2.46201410817004,3.13973869204087,3.71232599470535
"66",1.3,87.9347245955306,9.59003019247011,2.47524521199929,3.14181640399131,3.70802580513082
"67",1.32,87.8091250145055,9.70223482629133,2.48864015920319,3.1438906889863,3.70373170948488
"68",1.34,87.6839127882203,9.81388915640072,2.50219805537895,3.14596153990702,3.699443711686
"69",1.36,87.5590865431929,9.92499544691572,2.5159180098914,3.14802894968218,3.69516181560892
"70",1.38,87.434644911294,10.0355559528482,2.52979913585781,3.15009291128796,3.6908860250848
"71",1.4,87.310586529725,10.1455729201423,2.54384055013274,3.15215341774792,3.68661634390119
"72",1.42,87.1869100409946,10.2550485857125,2.5580413732929,3.15421046213293,3.6823527758022
"73",1.44,87.063614092897,10.3639851774808,2.57240072962216,3.15626403756113,3.67809532448848
"74",1.46,86.9406973384886,10.4723849144149,2.58691774709653,3.1583141371978,3.67384399361735
"75",1.48,86.818158436066,10.5802500065647,2.60159155736931,3.16036075425531,3.66959878680286
"76",1.5,86.6959960491438,10.6875826551,2.61642129575621,3.16240388199307,3.66535970761583
"77",1.52,86.5742088464321,10.7943850523473,2.63140610122056,3.16444351371743,3.66112675958394
"78",1.54,86.4527955018145,10.9006593818269,2.64654511635859,3.16647964278159,3.65689994619182
"79",1.56,86.3317546943263,11.0064078182889,2.66183748738479,3.16851226258556,3.65267927088108
"80",1.58,86.2110851081323,11.1116325277504,2.67728236411727,3.17054136657606,3.64846473705042
"81",1.6,86.0907854325051,11.2163356675317,2.69287889996325,3.17256694824646,3.64425634805567
"82",1.62,85.9708543618035,11.320519386292,2.70862625190456,3.17458900113669,3.64005410720988
"83",1.64,85.8512905954508,11.424185824066,2.72452358048323,3.17660751883318,3.63585801778337
"84",1.66,85.7320928379132,11.5273371122997,2.74057004978714,3.17862249496876,3.63166808300385
"85",1.68,85.6132597986786,11.6299753738858,2.75676482743568,3.18063392322261,3.62748430605644
"86",1.7,85.4947901922351,11.7321027231994,2.77310708456553,3.18264179732017,3.62330669008374
"87",1.72,85.3766827380499,11.8337212661336,2.7895959958165,3.18464611103307,3.61913523818595
"88",1.74,85.258936160548,11.9348331001347,2.80623073931738,3.18664685817904,3.61496995342092
"89",1.76,85.1415491890914,12.0354403142368,2.82301049667185,3.18864403262185,3.61081083880419
"90",1.78,85.0245205579579,12.1355449890976,2.83993445294454,3.19063762827122,3.60665789730911
"91",1.8,84.9078490063206,12.2351491970324,2.85700179664701,3.19262763908275,3.60251113186688
"92",1.82,84.7915332782268,12.3342550020493,2.8742117197239,3.19461405905783,3.59837054536666
"93",1.84,84.6755721225776,12.4328644598834,2.89156341753908,3.19659688224359,3.59423614065559
"94",1.86,84.5599642931071,12.530979618031,2.90905608886189,3.19857610273279,3.59010792053891
"95",1.88,84.4447085483622,12.6286025157845,2.92668893585339,3.20055171466377,3.58598588778001
"96",1.9,84.329803651682,12.7257351842653,2.94446116405273,3.20252371222033,3.58187004510052
"97",1.92,84.2152483711777,12.8223796464589,2.9623719823635,3.20449208963172,3.57776039518035
"98",1.94,84.1010414797121,12.9185379172477,2.98042060304025,3.20645684117248,3.57365694065781
"99",1.96,83.98718175488,13.0142120034451,2.9986062416749,3.20841796116243,3.56955968412966
"100",1.98,83.8736679789877,13.1094039038289,3.0169281171834,3.21037544396655,3.56546862815119
"101",2,83.7604989390333,13.2041156091745,3.03538545179227,3.21232928399491,3.56138377523629
"102",2.02,83.6476734266868,13.2983491022879,3.05397747102531,3.21427947570262,3.5573051278575
"103",2.04,83.5351902382705,13.3921063580392,3.07270340369034,3.21622601358969,3.55323268844616
"104",2.06,83.4230481747391,13.485389343395,3.09156248186592,3.218168892201,3.54916645939241
"105",2.08,83.3112460416604,13.5782000174514,3.11055394088827,3.22010810612621,3.54510644304528
"106",2.1,83.1997826491956,13.6705403314664,3.12967701933809,3.22204364999967,3.54105264171282
"107",2.12,83.0886568120799,13.7624122288925,3.14893095902755,3.22397551850033,3.5370050576621
"108",2.14,82.9778673496036,13.8538176454091,3.16831500498728,3.22590370635171,3.53296369311933
"109",2.16,82.8674130855923,13.9447585089543,3.1878284054534,3.22782820832174,3.52892855026994
"110",2.18,82.7572928483882,14.0352367397572,3.20747041185465,3.22974901922274,3.52489963125862
"111",2.2,82.6475054708308,14.1252542503697,3.22724027879954,3.23166613391134,3.52087693818945
"112",2.22,82.538049790238,14.2148129456985,3.24713726406358,3.23357954728834,3.51686047312592
"113",2.24,82.4289246483874,14.3039147230361,3.2671606285765,3.23548925429871,3.51285023809106
"114",2.26,82.3201288914974,14.392561472093,3.28730963640962,3.23739524993144,3.50884623506746
"115",2.28,82.2116613702083,14.4807550750286,3.3075835547632,3.23929752921948,3.50484846599742
"116",2.3,82.103520939564,14.5684974064822,3.32798165395384,3.24119608723968,3.50085693278296
"117",2.32,81.9957064589933,14.6557903336047,3.34850320740198,3.24309091911269,3.49687163728592
"118",2.34,81.8882167922915,14.7426357160892,3.36914749161942,3.24498202000286,3.49289258132807
"119",2.36,81.7810508076017,14.8290354062014,3.38991378619691,3.2468693851182,3.48891976669114
"120",2.38,81.6742073773973,14.914991248811,3.41080137379173,3.24875300971025,3.48495319511692
"121",2.4,81.567685378463,15.0005050814216,3.43180954011543,3.25063288907402,3.48099286830735
"122",2.42,81.4614836918769,15.0855787342016,3.45293757392152,3.25250901854793,3.47703878792459
"123",2.44,81.3556012029927,15.1702140300141,3.47418476699325,3.25438139351368,3.47309095559107
"124",2.46,81.2500368014216,15.2544127844469,3.49555041413148,3.2562500093962,3.46914937288963
"125",2.48,81.1447893810143,15.3381768058433,3.51703381314249,3.25811486166354,3.46521404136354
"126",2.5,81.0398578398432,15.4215078953308,3.538634264826,3.25997594582684,3.46128496251661
"127",2.52,80.9352410801851,15.5044078468519,3.56035107296307,3.26183325744016,3.45736213781328
"128",2.54,80.8309380085028,15.586878447193,3.58218354430416,3.26368679210047,3.45344556867866
"129",2.56,80.7269475354284,15.6689214760144,3.60413098855723,3.26553654544754,3.44953525649866
"130",2.58,80.623268575745,15.7505387058792,3.62619271837583,3.26738251316385,3.44563120262001
"131",2.6,80.51990004837,15.8317319022827,3.6483680493473,3.2692246909745,3.44173340835042
"132",2.62,80.4168408763372,15.9125028236818,3.67065629998098,3.27106307464716,3.43784187495857
"133",2.64,80.3140899867801,15.9928532215234,3.69305679169651,3.27289765999193,3.43395660367427
"134",2.66,80.2116463109141,16.0727848402738,3.71556884881212,3.27472844286131,3.4300775956885
"135",2.68,80.10950878402,16.152299417447,3.738191798533,3.27655541915006,3.42620485215349
"136",2.7,80.0076763454266,16.2313986836336,3.76092497093976,3.27837858479517,3.42233837418281
"137",2.72,79.906147938494,16.3100843625292,3.78376769897684,3.28019793577575,3.41847816285146
"138",2.74,79.8049225105964,16.3883581709625,3.80671931844104,3.2820134681129,3.41462421919595
"139",2.76,79.7039990131059,16.466221818924,3.82977916797011,3.28382517786972,3.41077654421437
"140",2.78,79.6033764013751,16.5436770095936,3.8529465890313,3.28563306115112,3.40693513886646
"141",2.8,79.5030536347208,16.6207254393691,3.87622092591008,3.28743711410383,3.40310000407374
"142",2.82,79.4030296764076,16.6973687978936,3.89960152569877,3.28923733291622,3.39927114071953
"143",2.84,79.3033034936312,16.7736087680835,3.92308773828533,3.29103371381828,3.39544854964911
"144",2.86,79.2038740575018,16.849447026156,3.94667891634214,3.29282625308152,3.39163223166971
"145",2.88,79.1047403430282,16.924885241657,3.97037441531484,3.29461494701886,3.38782218755067
"146",2.9,79.0059013291012,16.9999250774876,3.9941735934112,3.29639979198456,3.38401841802349
"147",2.92,78.9073559984774,17.0745681899325,4.01807581159007,3.29818078437412,3.38022092378191
