"","t","x","y","z","v","w"
"1",0,97,1,2,3,4
"2",0.02,96.9800826105685,1.01550231876276,2.00423124035837,3.00768799028705,4.00226618333084
"3",0.04,96.9999042166025,1.0175157638176,1.98221069555403,2.97592437005519,3.95213487999895
"4",0.06,96.9127438657457,1.05631729799342,2.03162690031548,3.05146285324026,4.04431857194277
"5",0.08,96.969233768669,1.04567428867475,1.98605079837971,2.9841490899362,3.94736188263477
"6",0.1,96.9620460455313,1.05656347325849,1.98209719959256,2.97945042950987,3.93325783892638
"7",0.12,96.9345398377401,1.074537058377,1.99149370411383,2.99480344091298,3.94559970179217
"8",0.14,96.9145769507518,1.08985656520464,1.9959359633288,3.00265493403015,3.94805388094045
"9",0.16,96.9244390165389,1.09453585402257,1.98114182303675,2.98151726485296,3.91246265298734
"10",0.18,96.9161024940072,1.10557377170947,1.97818095835653,2.97819197910724,3.90026957114921
"11",0.2,96.8737560817357,1.12892898501199,1.99719731385326,3.00794132875761,3.93132888212104
"12",0.22,96.8683173601679,1.13885899837651,1.99243258432643,3.00179421925386,3.91550424615853
"13",0.24,96.8295615509238,1.16099758952709,2.00901536442398,3.02779929852687,3.94156646202324
"14",0.26,96.8263962884673,1.17000541348334,2.00288959830349,3.01950537060595,3.92301571343625
"15",0.28,96.8627525477056,1.16433076607691,1.97213942595844,2.9740596037613,3.85632839325213
"16",0.3,96.808892473318,1.19218652854222,1.99833536291735,3.01455240771608,3.90098292599604
"17",0.32,96.7932986645472,1.20563917710613,2.00022443809048,3.01828172935223,3.89807029814554
"18",0.34,96.8053132261915,1.20860821866062,1.98497247229651,2.99610501310909,3.86177243395478
"19",0.36,96.8389052223595,1.203266062621,1.95661491666312,2.95414502739391,3.80009805331345
"20",0.38,96.8031802272288,1.22423862252156,1.9712830283802,2.97719822930313,3.82200888074489
"21",0.4,96.792275512023,1.23563600692908,1.97051374936143,2.97686927104775,3.81391937182121
"22",0.42,96.6834996196674,1.28566180426868,2.03088629676959,3.06890608787676,3.92394627670873
"23",0.44,96.6045005157186,1.32409263688465,2.07212002760863,3.13184591311729,3.99662957418011
"24",0.46,96.5500828500628,1.35292341507212,2.09783837875456,3.17120281384445,4.03913823583598
"25",0.48,96.5481015588312,1.36103822101538,2.09138167092265,3.16182336918979,4.01960946013241
"26",0.5,96.5467862198608,1.36879995486982,2.08461073002095,3.15195646596409,3.99949885071857
"27",0.52,96.5064038972818,1.39213452632553,2.1015745514174,3.17796975552033,4.02486806793135
"28",0.54,96.5758694979342,1.37172917049065,2.05290081469856,3.1046459510725,3.92461708475811
"29",0.56,96.6016573561287,1.36829419683986,2.03032611231726,3.07089325343499,3.87448345708594
"30",0.58,96.5671028509685,1.38911495314004,2.04391632709048,3.09187797799612,3.89337343030665
"31",0.6,96.5334507362466,1.40960991305013,2.05691471679194,3.11190509612984,3.91102386234267
"32",0.62,96.4805676330391,1.43810453504099,2.08138720559597,3.14923185670809,3.95034123256289
"33",0.64,96.4209535766228,1.46951889542439,2.10977052078328,3.19238349486493,3.9968776340373
"34",0.66,96.3467088092458,1.50721782839292,2.14676987482961,3.2484677331874,4.05948932912703
"35",0.68,96.3335624781685,1.51946460129711,2.1473406363536,3.24929761542051,4.05306475869782
"36",0.7,96.2888235030106,1.54492815853561,2.16654215828074,3.27829007028342,4.08171654597473
"37",0.72,96.3037085608007,1.54543184103126,2.15082647396603,3.25436763641749,4.04455377265487
"38",0.74,96.2607156532594,1.57019519668092,2.16895408254098,3.28167003484055,4.07100453258999
"39",0.76,96.2377328993764,1.58650590877615,2.17533392695684,3.29111909736605,4.07530050933543
"40",0.78,96.264650397537,1.5816898541216,2.15296845157969,3.25703673204058,4.02578293798291
"41",0.8,96.1952142460884,1.61791604257046,2.18648230790263,3.30752480182667,4.0806951207722
"42",0.82,96.1886500687448,1.62716315705279,2.1834325633292,3.30258023373277,4.06724210799521
"43",0.84,96.1065028458317,1.66914503962691,2.22414418245303,3.36380439732906,4.13515515071724
"44",0.86,95.9986281612071,1.72266348639964,2.27967796008308,3.44728899821018,4.23026547536474
"45",0.88,96.0849810715309,1.69227286861078,2.22429272465049,3.36287200778322,4.11953287229932
"46",0.9,96.0453943250851,1.71582073152555,2.24015073579819,3.3863006124557,4.14087183908943
"47",0.92,96.0737028392502,1.70981097622749,2.21756938993094,3.35155724172986,4.0911646260585
"48",0.94,96.0241191056554,1.73776390075923,2.23913442146895,3.38357203039727,4.12289016608331
"49",0.96,96.0603820408746,1.72807691123366,2.2123398699714,3.34242963369149,4.06557549488389
"50",0.98,96.0658974950373,1.73166060296508,2.20285477915673,3.32749716090406,4.04018590635151
"51",1,96.0249254466732,1.75577784570216,2.21953801643488,3.35209307521614,4.06275012802098
"52",1.02,95.9653764754147,1.78828041010581,2.2466503408622,3.39235764235904,4.10423140303867
"53",1.04,95.8803353383684,1.8324268154938,2.28807570679199,3.45411462437273,4.1715974024047
"54",1.06,95.8975695220576,1.83070841979561,2.27218793231009,3.4292082762451,4.13436432016077
"55",1.08,95.8959219772368,1.8373011757881,2.26683305413775,3.42022555448743,4.11636014521712
"56",1.1,95.9114070152842,1.83614345956875,2.25212727729987,3.39713342039869,4.08143567311684
"57",1.12,95.8354499645199,1.8763859048424,2.28816567888411,3.45059255900959,4.1383819318409
"58",1.14,95.9066949250209,1.8501882149022,2.24333982446932,3.38199385823297,4.04909701077679
"59",1.16,95.7981553002536,1.90563257262313,2.29752836413079,3.46276049088358,4.13848051441124
"60",1.18,95.8708539839985,1.87849112901962,2.25220803040954,3.39338262215846,4.04857739898199
"61",1.2,95.8260102311087,1.9045193319213,2.27085867747828,3.42050000564677,4.07375502942471
"62",1.22,95.6400390869789,1.99704308709355,2.36825920355053,3.56611030598018,4.23976618238548
"63",1.24,95.6173388064504,2.01308847036399,2.37453275079578,3.57417310493778,4.24224552931303
"64",1.26,95.5479173636936,2.05085195808196,2.40631771111088,3.62057594293589,4.29015146239636
"65",1.28,95.626543076266,2.02047761026725,2.35834401470095,3.54688269796852,4.19590776256212
"66",1.3,95.6507632755653,2.01471354336824,2.33951680682023,3.51716631722895,4.15375740132006
"67",1.32,95.6708836249244,2.01071499246273,2.3230044012536,3.49097848552972,4.11583803740185
"68",1.34,95.6142825650291,2.04244831611228,2.34781525017171,3.52690830165182,4.1510940450348
"69",1.36,95.5782139485463,2.06456319249836,2.36147506237145,3.54597974273916,4.16648288011841
"70",1.38,95.6645260331919,2.02980223605845,2.31035712523352,3.46775041574361,4.06771137115654
"71",1.4,95.7496766767405,1.99532189159747,2.26012141561435,3.39101833480088,3.97086135548
"72",1.42,95.8705530985105,1.94422194943383,2.19169951158412,3.28717854738607,3.84249301925141
"73",1.44,95.7873040378265,1.98856018891995,2.23106237789375,3.345179906134,3.90319364837882
"74",1.46,95.6855349967002,2.04196726538216,2.28027745140966,3.41778243490591,3.98079368067268
"75",1.48,95.7233730964664,2.028898609075,2.25524416190913,3.37893569249815,3.92867812350831
"76",1.5,95.635316437398,2.0758176415466,2.29688884637729,3.44002867799212,3.99264823196609
"77",1.52,95.6067685828425,2.09414442843654,2.30675848396468,3.45337326677755,4.0011859770008
"78",1.54,95.5588452678682,2.12179529922997,2.32685055033263,3.48195862285781,4.02733723075522
"79",1.56,95.5630189301068,2.12445335113465,2.31956644120599,3.46949931077511,4.00605218485708
"80",1.58,95.631170278917,2.09665263674292,2.27931192138386,3.40775768108006,3.92799758136863
"81",1.6,95.538682898636,2.1460219006907,2.32300291549513,3.47160818640338,3.99459036276512
